section_data_set_id,structure_id,expression_energy,sum_expressing_pixel_intensity,sum_pixels
100056187,15570,4.67887,960146.0,205209.0
100056187,17289,3.2982,225607.0,68403.0
100056187,17352,4.24632,123831000.0,29161900.0
100056187,16805,11.4941,262077.0,22801.0
100056187,15566,7.26554,2361610000.0,325043000.0
100056187,15750,8.20558,1995870000.0,243233000.0
100056187,16310,4.129,35587000.0,8618780.0
100056187,16001,14.8625,1388030000.0,93391700.0
100056187,16311,2.9217,66617.8,22801.0
100056187,17182,3.34558,9459030.0,2827320.0
100056187,17156,3.8182,20981200.0,5495040.0
100056187,17355,4.56707,18744100.0,4104180.0
100056187,15623,2.74767,11715400.0,4263750.0
100056187,16725,5.30218,17288000.0,3260540.0
100056187,16375,5.11162,146154000.0,28592500.0
100056187,17598,4.41655,12988200.0,2940810.0
100056187,17692,4.72879,6253630.0,1322460.0
100056187,16876,5.76274,19183800.0,3328950.0
100056187,17540,4.45062,16439300.0,3693710.0
100056187,17157,3.38634,154424.0,45602.0
100056187,15818,2.23591,86871600.0,38852900.0
100056187,15564,6.40061,2985880000.0,466499000.0
100056187,15666,3.27222,16563400.0,5061820.0
100056187,16915,3.20786,109786000.0,34224100.0
100056187,15576,3.95122,14414700.0,3648160.0
100056187,16790,4.83154,7270820.0,1504870.0
100056187,15565,6.40061,2985880000.0,466499000.0
100056187,17092,4.00381,41263500.0,10306100.0
100056187,17158,4.41383,11171000.0,2530910.0
100056187,16487,4.65131,17074800.0,3670960.0
100056187,17416,4.16646,26504800.0,6361480.0
100056187,16511,6.39421,2186910.0,342015.0
100056187,15568,3.31237,43653600.0,13178900.0
100056187,16510,5.02378,44788000.0,8915190.0
100056187,16114,4.25493,136502000.0,32081000.0
100056187,17222,4.37404,99732.5,22801.0
100056187,15751,2.23591,86871600.0,38852900.0
100056187,16211,3.74704,45195700.0,12061700.0
100056187,17292,4.30578,17180800.0,3990180.0
100056187,16308,4.91522,269757000.0,54882000.0
100056187,15740,4.23062,7138210.0,1687270.0
100056187,16742,11.7496,267903.0,22801.0
100056187,17318,4.9277,12134500.0,2462510.0
100056187,15622,3.03239,28278800.0,9325570.0
100056187,16313,4.13221,35520300.0,8595980.0
100056187,16624,5.09105,27163000.0,5335430.0
100056187,16502,7.20926,328757.0,45602.0
100056187,17220,4.74251,64339700.0,13566600.0
100056187,15569,3.98997,15374800.0,3853370.0
100056187,17476,3.88026,26099800.0,6726290.0
100056187,17538,4.20238,22612900.0,5380980.0
100056187,16377,4.09416,1306910.0,319214.0
100056187,16726,5.25677,17020100.0,3237740.0
100056187,15567,7.74299,2091850000.0,270161000.0
100056187,17091,3.97183,90561.8,22801.0
100056187,16967,6.2412,39134100.0,6270280.0
100056187,15739,8.17819,2003000000.0,244920000.0
100056187,16650,5.70902,186536000.0,32673800.0
100056187,16911,9.00833,205399.0,22801.0
100056187,16751,3.99656,17222700.0,4309390.0
100056187,16919,2.49284,69286400.0,27794200.0
100056187,17290,4.54312,29315300.0,6452680.0
100056187,16808,3.98802,401821000.0,100757000.0
100056187,17155,2.51105,114509.0,45602.0
100056187,17478,3.90104,16722100.0,4286590.0
100056187,16368,6.75054,153919.0,22801.0
100056187,17418,4.07746,14317400.0,3511350.0
100056187,16641,8.69549,198266.0,22801.0
100056187,16247,4.26203,26238200.0,6156270.0
100056187,16309,4.28209,51454100.0,12016100.0
100056187,17596,4.43149,16770800.0,3784450.0
100056187,16809,3.6123,172387000.0,47722300.0
100056187,17022,9.65304,1320590.0,136806.0
100056187,16811,1.74875,3588590.0,2052090.0
100056187,16623,5.10639,27361200.0,5358240.0
100056187,16509,5.05479,72149200.0,14273400.0
100056187,16916,1.97596,45053.8,22801.0
100056187,17025,4.56931,13856600.0,3032530.0
100056187,17250,4.98109,20443300.0,4104180.0
100056187,16649,5.50948,203758000.0,36983200.0
100056187,17024,2.85449,195256.0,68403.0
100056187,17620,4.4836,3782530.0,843637.0
100056187,15738,7.97021,2048200000.0,256982000.0
100056187,17380,4.67041,13098300.0,2804520.0
100056187,17437,4.28763,12122500.0,2827320.0
100056187,17562,3.65893,6173610.0,1687270.0
100056187,17223,4.88456,14255700.0,2918530.0
100056187,16813,4.6949,14237400.0,3032530.0
100056187,17093,4.2158,20282300.0,4811010.0
100056187,16486,4.6827,17403500.0,3716560.0
100056187,17095,4.22508,9537270.0,2257300.0
100056187,17094,3.47204,158332.0,45602.0
100056187,17221,4.92336,35024400.0,7113910.0
100056187,16212,3.21016,18957500.0,5905460.0
100056187,16352,4.67045,15867100.0,3397350.0
100056187,17353,4.60902,31842400.0,6908700.0
100056187,16519,4.96911,42601000.0,8573180.0
100056187,16651,5.75412,169248000.0,29413300.0
100056187,17417,2.84644,64901.6,22801.0
100056187,17023,5.01509,25385500.0,5061820.0
100056187,15903,12.1503,1524540000.0,125473000.0
100056187,16791,4.72904,7008740.0,1482060.0
100056187,17219,2.15693,196721.0,91204.0
100056187,17651,5.02975,18692500.0,3716390.0
100056187,16353,4.65639,15713200.0,3374550.0
100056187,16754,3.54852,9951920.0,2804520.0
100056187,16382,5.18976,127443000.0,24556700.0
100056187,17653,5.19601,12438900.0,2393930.0
100056187,16376,5.1757,128750000.0,24875900.0
100056187,16810,4.41129,37215300.0,8436370.0
100056187,17123,4.25264,10472200.0,2462510.0
100056187,17500,3.84377,9377670.0,2439710.0
100056187,17053,5.80113,11243100.0,1938080.0
100056187,16752,3.54852,9951920.0,2804520.0
100056187,16658,5.75412,169248000.0,29413300.0
