section_data_set_id,structure_id,expression_energy,sum_expressing_pixel_intensity,sum_pixels
100047793,17085,8.88516,2257480.0,254072.0
100047793,17412,4.83376,443253.0,91699.5
100047793,16643,10.1569,2687230.0,264570.0
100047793,111220626,5.24819,1927330.0,367236.0
100047793,15564,9.92488,1050910000.0,105886000.0
100047793,15917,7.66182,2657380.0,346834.0
100047793,16114,10.2624,15807600.0,1540350.0
100047793,16867,4.40077,1616120.0,367236.0
100047793,16754,7.71667,4249370.0,550674.0
100047793,17605,16.6887,19040000.0,1140890.0
100047793,111220874,10.5314,643083.0,61063.2
100047793,15777,7.5462,461873.0,61206.0
100047793,17557,6.49177,132445.0,20402.0
100047793,17603,16.4621,20964500.0,1273500.0
100047793,16253,4.44305,317265.0,71407.0
100047793,16649,15.4176,192543000.0,12488500.0
100047793,17695,11.4903,40790100.0,3549970.0
100047793,15903,14.724,131664000.0,8942140.0
100047793,17541,18.7713,4969410.0,264735.0
100047793,16386,9.88851,3631420.0,367236.0
100047793,16990,4.0939,2463950.0,601859.0
100047793,111220614,5.57977,4722330.0,846332.0
100047793,17354,9.5055,385503.0,40555.8
100047793,111220878,6.38231,325530.0,51005.0
100047793,16231,5.7921,590852.0,102010.0
100047793,17092,5.93991,16102000.0,2710820.0
100047793,15922,7.52505,690867.0,91809.0
100047793,16660,26.8955,2743610.0,102010.0
100047793,15569,5.79004,3599860.0,621733.0
100047793,15980,8.30678,169475.0,20402.0
100047793,16996,10.4124,5284250.0,507494.0
100047793,16323,7.71568,12042300.0,1560750.0
100047793,16562,8.20457,334779.0,40804.0
100047793,17367,6.50772,132770.0,20402.0
100047793,16314,8.31836,7212730.0,867085.0
100047793,112892317,14.3281,1310970.0,91496.2
100047793,16476,6.03554,1600780.0,265226.0
100047793,17733,9.52218,36102600.0,3791420.0
100047793,111220784,12.8241,784909.0,61206.0
100047793,16481,6.06439,804217.0,132613.0
100047793,111220704,4.57921,93425.1,20402.0
100047793,16483,6.62967,405776.0,61206.0
100047793,16523,10.0536,1025570.0,102010.0
100047793,17089,10.8982,1108380.0,101703.0
100047793,111220560,14.0164,29539000.0,2107470.0
100047793,17278,11.8379,721390.0,60939.0
100047793,17637,5.39958,1099870.0,203696.0
100047793,15566,8.63827,334003000.0,38665400.0
100047793,17230,15.469,946796.0,61206.0
100047793,16533,8.00136,652975.0,81608.0
100047793,112892287,11.011,112323.0,10201.0
100047793,16625,15.1208,612807.0,40527.4
100047793,17095,5.07952,3005340.0,591658.0
100047793,16671,10.3197,17682300.0,1713440.0
100047793,17219,3.24901,132572.0,40804.0
100047793,17237,3.82801,1444830.0,377437.0
100047793,16526,10.0304,306961.0,30603.0
100047793,17460,10.2652,5949420.0,579572.0
100047793,17543,19.3542,3744730.0,193484.0
100047793,17693,11.579,41695800.0,3600970.0
100047793,17666,11.3133,115344000.0,10195400.0
100047793,15629,5.6238,688421.0,122412.0
100047793,111220722,5.32298,814496.0,153015.0
100047793,15837,7.798,9784330.0,1254720.0
100047793,17374,8.75057,89264.6,10201.0
100047793,15752,7.41699,3177750.0,428442.0
100047793,17276,8.70477,442387.0,50821.2
100047793,15718,6.69842,1161620.0,173417.0
100047793,17580,4.31411,1317550.0,305404.0
100047793,111220728,4.55478,232317.0,51005.0
100047793,16584,11.0798,2373520.0,214221.0
100047793,111220688,7.809,477958.0,61206.0
100047793,16549,9.28779,1989640.0,214221.0
100047793,17674,8.81161,58143700.0,6598530.0
100047793,16751,7.76077,6092140.0,784992.0
100047793,16922,13.9239,3124830.0,224422.0
100047793,15854,8.04961,3941480.0,489648.0
100047793,15799,4.8252,4331520.0,897688.0
100047793,17042,5.6394,1208080.0,214221.0
100047793,15812,5.68858,2089050.0,367236.0
100047793,16773,6.9606,2201160.0,316231.0
100047793,16277,5.34003,544736.0,102010.0
100047793,17595,3.16636,258400.0,81608.0
100047793,17682,14.3789,17430900.0,1212260.0
100047793,16506,8.50252,86734.2,10201.0
100047793,16819,15.2424,621950.0,40804.0
100047793,15795,3.65965,410653.0,112211.0
100047793,15723,9.86448,5223900.0,529566.0
100047793,16818,16.6475,2369140.0,142311.0
100047793,15670,5.81958,296828.0,51005.0
100047793,16786,7.34253,224704.0,30603.0
100047793,17529,11.9016,3497280.0,293849.0
100047793,16522,6.61095,67438.3,10201.0
100047793,16539,5.80408,1124940.0,193819.0
100047793,16216,3.57394,182289.0,51005.0
100047793,16200,6.82537,626631.0,91809.0
100047793,16202,7.04452,215583.0,30603.0
100047793,16390,8.00461,163310.0,20402.0
100047793,16997,10.5497,1821740.0,172681.0
100047793,15720,5.42913,55382.5,10201.0
100047793,17229,11.5845,3781560.0,326432.0
100047793,16653,22.2896,5441390.0,244123.0
100047793,15599,4.92594,251247.0,51005.0
100047793,112892431,3.27398,133591.0,40804.0
100047793,112892447,3.63527,148334.0,40804.0
100047793,15836,6.13484,12578900.0,2050400.0
100047793,17547,13.0761,11987900.0,916781.0
100047793,17063,4.72306,529979.0,112211.0
100047793,15680,4.61904,2025080.0,438419.0
100047793,17352,9.68064,104701000.0,10815500.0
100047793,17388,5.8479,596544.0,102010.0
100047793,16332,7.08464,6937960.0,979296.0
100047793,17495,8.92315,182023.0,20399.0
100047793,16285,4.79047,781882.0,163216.0
100047793,15722,9.86448,5223900.0,529566.0
100047793,17170,4.55631,1347890.0,295829.0
100047793,16478,6.03554,1600780.0,265226.0
100047793,17134,4.53384,1017490.0,224422.0
100047793,16882,4.82473,344520.0,71407.0
100047793,16356,8.79786,714873.0,81255.3
100047793,16661,10.5093,214411.0,20402.0
100047793,16828,17.4028,1588990.0,91306.4
100047793,17074,4.72006,962986.0,204020.0
100047793,17361,10.8909,3666250.0,336633.0
100047793,111220790,8.42959,85990.2,10201.0
100047793,16913,11.3748,2310980.0,203167.0
100047793,111220906,6.9297,282695.0,40794.8
100047793,17421,12.6186,2317000.0,183618.0
100047793,16519,8.19853,23082800.0,2815480.0
100047793,16325,7.76511,11802600.0,1519950.0
100047793,16681,21.5972,15862600.0,734472.0
100047793,17353,8.40026,17625800.0,2098240.0
100047793,111220800,5.46959,111591.0,20402.0
100047793,16340,8.77413,716039.0,81608.0
100047793,111220798,4.60412,140900.0,30603.0
100047793,15738,9.803,197839000.0,20181500.0
100047793,17506,4.12819,252670.0,61206.0
100047793,15565,9.92488,1050910000.0,105886000.0
100047793,16793,4.71752,625605.0,132613.0
100047793,111220552,22.9603,52933200.0,2305430.0
100047793,112892415,3.16874,64648.6,20402.0
100047793,16443,6.79732,2704240.0,397839.0
100047793,17166,7.4552,1825210.0,244824.0
100047793,15669,4.86349,4066780.0,836184.0
100047793,16247,5.63961,6095290.0,1080800.0
100047793,17038,4.08772,1751350.0,428442.0
100047793,111220898,18.0046,912295.0,50670.0
100047793,15908,8.15671,249620.0,30603.0
100047793,16920,12.3221,13198200.0,1071100.0
100047793,16783,5.5113,449766.0,81608.0
100047793,16456,4.28213,87364.0,20402.0
100047793,16631,5.8785,2636860.0,448559.0
100047793,17044,4.84415,840058.0,173417.0
100047793,15979,7.14676,1458080.0,204020.0
100047793,17340,8.7352,6212030.0,711149.0
100047793,17250,6.8261,5908370.0,865556.0
100047793,16994,10.3882,5483030.0,527813.0
100047793,16615,4.99754,1223520.0,244824.0
100047793,17291,9.0413,184461.0,20402.0
100047793,111220764,8.74508,178417.0,20402.0
100047793,15687,6.00634,1404270.0,233798.0
100047793,15712,8.03406,1720460.0,214146.0
100047793,16397,7.15511,291957.0,40804.0
100047793,17271,3.93577,883272.0,224422.0
100047793,16956,4.92385,3767120.0,765075.0
100047793,15776,7.57945,1391720.0,183618.0
100047793,111220876,7.46671,1675690.0,224422.0
100047793,15590,4.84304,247019.0,51005.0
100047793,15623,5.58688,4729920.0,846612.0
100047793,17508,4.78161,438995.0,91809.0
100047793,15775,6.54315,200240.0,30603.0
100047793,17689,11.1305,12723900.0,1143160.0
100047793,15786,4.4934,91674.4,20402.0
100047793,16512,9.33566,2176950.0,233187.0
100047793,111220568,6.76787,138078.0,20402.0
100047793,16375,7.68235,39248800.0,5108960.0
100047793,16552,8.24294,84086.2,10201.0
100047793,15798,5.04241,1131630.0,224422.0
100047793,17503,4.52024,691665.0,153015.0
100047793,16250,4.44305,317265.0,71407.0
100047793,112892367,3.13291,31958.9,10201.0
100047793,16993,5.11007,1459580.0,285628.0
100047793,112892437,3.41859,104619.0,30603.0
