section_data_set_id,structure_id,expression_energy,sum_expressing_pixel_intensity,sum_pixels
100042066,15809,0.00294278,2714.37,922383.0
100042066,16729,0.00294078,645.84,219615.0
100042066,15565,0.0211551,3621080.0,171168000.0
100042066,16877,0.007409,6508.51,878460.0
100042066,17254,0.00276844,121.598,43923.0
100042066,17437,0.0293804,51188.9,1742280.0
100042066,15755,0.420119,196831.0,468512.0
100042066,16450,0.00304328,401.01,131769.0
100042066,16244,0.0106563,780.092,73205.0
100042066,16118,0.00351532,51.4679,14641.0
100042066,111220908,0.0717959,16818.6,234256.0
100042066,16531,0.0052524,76.9004,14641.0
100042066,16287,0.0100498,2354.23,234256.0
100042066,17452,0.0128964,566.446,43923.0
100042066,15589,0.0847183,45893.3,541717.0
100042066,15623,0.0100654,17241.9,1713000.0
100042066,15921,0.0101715,4467.62,439230.0
100042066,15931,0.00591601,1559.09,263538.0
100042066,16509,0.0110996,63703.5,5739270.0
100042066,111220846,0.0060516,354.406,58564.0
100042066,17621,0.0464313,27192.0,585640.0
100042066,16211,0.00993242,35337.2,3557760.0
100042066,17155,0.00503869,1180.34,234256.0
100042066,16537,0.00686132,200.913,29282.0
100042066,15983,0.00664763,4769.07,717409.0
100042066,16483,0.0687883,2014.26,29282.0
100042066,17565,0.0367409,20979.0,570999.0
100042066,15980,0.00498088,583.4,117128.0
100042066,16354,0.00638784,280.573,43923.0
100042066,17131,0.00677722,297.676,43923.0
100042066,112892341,0.00690443,303.263,43923.0
100042066,15710,0.00289474,127.146,43923.0
100042066,16261,0.0075109,5058.49,673486.0
100042066,112892409,0.0238721,4194.13,175692.0
100042066,16615,0.0124285,6368.81,512435.0
100042066,16752,0.0165715,23534.5,1420180.0
100042066,16968,0.0133256,14632.5,1098080.0
100042066,16592,0.0243234,712.239,29282.0
100042066,17043,0.0109763,160.703,14641.0
100042066,111220754,0.00698193,2146.67,307461.0
100042066,16975,0.0116235,9359.87,805255.0
100042066,17637,0.0100444,3382.4,336743.0
100042066,17724,0.030677,11677.7,380666.0
100042066,17361,0.00537675,944.652,175692.0
100042066,16116,0.0035516,155.997,43923.0
100042066,15867,0.0165504,42647.3,2576820.0
100042066,17653,0.160258,610047.0,3806660.0
100042066,17053,0.00966675,12171.7,1259130.0
100042066,111220796,0.00827432,969.155,117128.0
100042066,16334,0.0218857,320.428,14641.0
100042066,16742,0.0115412,1858.73,161051.0
100042066,16758,0.0191361,1681.03,87846.0
100042066,17298,0.00661417,1549.41,234256.0
100042066,17570,0.00206617,302.508,146410.0
100042066,16843,0.0152074,21597.2,1420180.0
100042066,17093,0.00974575,25255.7,2591460.0
100042066,111220626,0.0077496,6353.87,819896.0
100042066,15836,0.00944449,23921.9,2532890.0
100042066,17638,0.0124582,182.401,14641.0
100042066,15877,0.036766,2691.46,73205.0
100042066,111220884,0.0468627,11664.0,248897.0
100042066,15997,0.00338525,1139.96,336743.0
100042066,17512,0.0150827,12807.9,849178.0
100042066,112892367,0.00474459,69.4655,14641.0
100042066,16262,0.00504739,73.8989,14641.0
100042066,16205,0.105321,16962.0,161051.0
100042066,16311,0.00493843,289.214,58564.0
100042066,16726,0.00865927,11156.7,1288410.0
100042066,16913,0.0110819,2596.01,234256.0
100042066,111220650,0.00339245,149.007,43923.0
100042066,16984,0.0165651,12611.6,761332.0
100042066,16781,0.00820763,600.84,73205.0
100042066,17266,0.018279,6155.31,336743.0
100042066,17066,0.00941124,4960.44,527076.0
100042066,16383,0.00197869,2056.87,1039510.0
100042066,16981,0.0132718,2914.68,219615.0
100042066,15854,0.00705301,26951.7,3821300.0
100042066,17209,0.00987998,867.917,87846.0
100042066,15569,0.109739,133355.0,1215200.0
100042066,16607,0.0102402,2848.62,278179.0
100042066,111220870,0.00625696,641.257,102487.0
100042066,17631,0.0122752,6469.96,527076.0
100042066,17460,0.0274088,5618.09,204974.0
100042066,17598,0.042535,111473.0,2620740.0
100042066,16511,0.00931602,1636.75,175692.0
100042066,16470,0.00198584,29.0747,14641.0
100042066,111220664,0.0100665,1179.07,117128.0
100042066,17033,0.00867442,6985.12,805255.0
100042066,17386,0.0356616,16707.9,468512.0
100042066,111220736,0.0127487,1493.22,117128.0
100042066,16250,0.00780091,1256.34,161051.0
100042066,17164,0.012739,2984.2,234256.0
100042066,17604,0.0922825,2702.22,29282.0
100042066,15992,0.00645763,283.638,43923.0
100042066,17572,0.0470637,689.06,14641.0
100042066,17424,0.0111002,9426.07,849178.0
100042066,17558,0.046645,23219.6,497794.0
100042066,15880,0.0239429,14723.0,614922.0
100042066,16234,0.00587262,85.981,14641.0
100042066,16676,0.00850431,5976.56,702768.0
100042066,17115,0.00752231,2533.09,336743.0
100042066,17353,0.026755,85003.1,3177100.0
100042066,17113,0.0072816,2558.64,351384.0
100042066,114403707,0.00874817,256.164,29282.0
100042066,16559,0.00332248,1070.18,322102.0
100042066,16898,0.00433305,63.4402,14641.0
100042066,17183,0.0131089,4798.19,366025.0
100042066,17384,0.0060448,619.514,102487.0
100042066,17525,0.0441232,1292.02,29282.0
100042066,17235,0.00600477,4219.96,702768.0
100042066,112892425,0.0185505,543.196,29282.0
100042066,16692,0.0323906,243754.0,7525470.0
100042066,111220790,0.0153618,899.649,58564.0
100042066,16959,0.00971646,13087.8,1346970.0
100042066,15781,0.00514635,3465.99,673486.0
100042066,17504,0.0244489,1073.87,43923.0
100042066,16259,0.0075109,5058.49,673486.0
100042066,17503,0.0312266,16001.6,512435.0
100042066,16532,0.0076082,2116.44,278179.0
100042066,15624,0.00888965,10932.9,1229840.0
100042066,16507,0.0111541,653.23,58564.0
100042066,16924,0.0211683,89878.3,4245890.0
100042066,15970,0.00607788,533.918,87846.0
100042066,15973,0.00683245,800.272,117128.0
100042066,15873,0.0167903,22124.5,1317690.0
100042066,15724,0.00504094,516.631,102487.0
100042066,15750,0.0136375,888717.0,65167100.0
100042066,15818,0.0110146,158040.0,14348200.0
100042066,17318,0.0388028,46017.1,1185920.0
100042066,15627,0.00868644,508.713,58564.0
100042066,15963,0.00742145,434.63,58564.0
100042066,16390,0.0013923,631.926,453871.0
100042066,111220854,0.0304699,892.219,29282.0
100042066,17159,0.0137278,4019.76,292820.0
100042066,17085,0.00511386,149.744,29282.0
100042066,112892307,0.012144,177.8,14641.0
100042066,16773,0.0168579,14809.0,878460.0
100042066,17207,0.00884515,906.513,102487.0
100042066,16960,0.0123072,540.57,43923.0
100042066,16127,0.01002,4254.39,424589.0
100042066,16927,0.0188022,50927.5,2708580.0
100042066,17132,0.0109839,3698.75,336743.0
100042066,111220752,0.00467017,68.376,14641.0
100042066,17054,0.00946392,5265.33,556358.0
100042066,17431,0.0289488,18225.1,629563.0
100042066,111220658,0.00888555,6374.58,717409.0
100042066,17368,0.00890086,7297.78,819896.0
100042066,17380,0.0406254,58884.8,1449460.0
100042066,16817,0.0150582,1322.81,87846.0
100042066,16679,0.0293475,17187.1,585640.0
100042066,15920,0.0086587,5958.29,688127.0
100042066,16206,0.00302359,88.5367,29282.0
100042066,16925,0.00998234,3215.33,322102.0
100042066,17097,0.0126457,1110.88,87846.0
100042066,16147,0.00840101,491.997,58564.0
100042066,16323,0.0183721,35506.1,1932610.0
100042066,15842,0.00765209,8738.67,1142000.0
100042066,17418,0.0172368,28769.5,1669070.0
100042066,16373,0.00960644,1406.48,146410.0
100042066,17568,0.0481483,19033.4,395307.0
100042066,16167,0.00452812,2187.77,483153.0
100042066,17363,0.00537675,944.652,175692.0
100042066,15904,0.0142996,132525.0,9267750.0
100042066,17028,0.0047671,697.951,146410.0
100042066,17635,0.0162219,3087.56,190333.0
100042066,16387,0.00141232,144.745,102487.0
100042066,17715,0.0207089,8186.36,395307.0
100042066,17556,0.046537,25891.2,556358.0
100042066,111220828,0.00908062,664.747,73205.0
100042066,16489,0.0197359,19359.9,980947.0
100042066,112892291,0.00354783,51.9437,14641.0
100042066,16728,0.0087527,10251.9,1171280.0
100042066,16753,0.00344325,201.651,58564.0
100042066,16907,0.0268619,786.571,29282.0
100042066,111220880,0.0848307,3726.02,43923.0
100042066,17520,0.0155481,5463.35,351384.0
100042066,17440,0.0296418,19095.4,644204.0
100042066,16169,0.0036464,1174.51,322102.0
100042066,16264,0.00463836,1629.85,351384.0
100042066,111220684,0.00966101,2404.6,248897.0
100042066,111220700,0.0031481,92.1826,29282.0
100042066,16574,0.00564198,826.042,146410.0
100042066,17601,0.158287,4634.95,29282.0
100042066,16115,0.00705279,5369.51,761332.0
100042066,15957,0.0091757,1209.07,131769.0
100042066,16282,0.0102447,299.984,29282.0
100042066,17025,0.00780993,29729.7,3806660.0
100042066,111220692,0.0146242,214.113,14641.0
100042066,15792,0.0141109,13222.3,937024.0
100042066,16294,0.00992017,6100.13,614922.0
100042066,16811,0.00452229,264.844,58564.0
100042066,17383,0.0330721,20821.0,629563.0
100042066,15686,0.00780989,12692.3,1625150.0
100042066,16697,0.0227166,77494.4,3411350.0
100042066,16846,0.0174612,5368.64,307461.0
100042066,15739,0.015468,1014570.0,65591700.0
100042066,16278,0.0061602,360.766,58564.0
100042066,17277,0.0179412,1838.74,102487.0
100042066,17251,0.00932117,4094.14,439230.0
100042066,15756,0.837774,24531.7,29282.0
100042066,111220634,0.0100785,5312.12,527076.0
100042066,112892343,0.00188918,27.6595,14641.0
100042066,16717,0.00922786,7295.68,790614.0
100042066,111220788,0.0066931,97.9936,14641.0
100042066,111220724,0.0143286,839.138,58564.0
100042066,15919,0.0100089,13774.8,1376250.0
100042066,111220666,0.00682567,8994.11,1317690.0
100042066,17221,0.010657,29801.6,2796430.0
100042066,16526,0.00107459,15.7331,14641.0
100042066,16584,0.0129963,1522.24,117128.0
100042066,17258,0.0131582,770.599,58564.0
100042066,16969,0.0429824,629.305,14641.0
100042066,17679,0.0304724,18292.0,600281.0
100042066,112892321,0.0165499,969.227,58564.0
100042066,16216,0.0272817,1997.16,73205.0
100042066,16887,0.00805749,2123.46,263538.0
100042066,17013,0.0198059,1449.89,73205.0
100042066,16285,0.0100498,2354.23,234256.0
100042066,15929,0.000863385,101.127,117128.0
100042066,111220832,0.0200394,3520.77,175692.0
100042066,111220552,0.010428,32520.0,3118530.0
100042066,15845,0.0154776,2266.08,146410.0
100042066,15625,0.00906007,530.594,58564.0
100042066,16295,0.00992017,6100.13,614922.0
100042066,17291,0.0306165,448.256,14641.0
100042066,16805,0.00764649,559.762,73205.0
100042066,16156,0.00578295,508.009,87846.0
100042066,16794,0.00121364,35.5377,29282.0
100042066,17031,0.00867541,7112.94,819896.0
100042066,111220732,0.0028467,125.035,43923.0
100042066,16523,0.00163286,95.6268,58564.0
100042066,17648,0.0124582,182.401,14641.0
100042066,111220686,0.00605129,177.194,29282.0
100042066,16776,0.0104051,5484.26,527076.0
100042066,16900,0.0103943,304.367,29282.0
100042066,15922,0.013455,3348.91,248897.0
100042066,17089,0.00968971,1134.94,117128.0
100042066,15597,0.0106387,1246.08,117128.0
100042066,17170,0.00637767,2241.01,351384.0
100042066,16636,0.0387865,14196.8,366025.0
100042066,16579,0.00734256,7095.16,966306.0
100042066,16492,0.0107036,7365.43,688127.0
100042066,111220934,0.0376601,9373.48,248897.0
100042066,16602,0.0102402,2848.62,278179.0
100042066,16784,0.00639734,93.6635,14641.0
100042066,15969,0.00745111,4909.13,658845.0
100042066,17352,0.0314366,567045.0,18037700.0
100042066,17698,0.0216786,12695.9,585640.0
100042066,111220568,0.00630672,1662.06,263538.0
100042066,15917,0.0103029,15235.3,1478740.0
100042066,17103,0.0137558,4027.96,292820.0
100042066,111220654,0.00342292,50.115,14641.0
100042066,111220924,0.158287,4634.95,29282.0
100042066,16231,0.00531152,1088.72,204974.0
100042066,16251,0.00610123,178.656,29282.0
100042066,16214,0.125161,7329.96,58564.0
100042066,16581,0.00680422,6475.34,951665.0
100042066,17581,0.0144207,1266.8,87846.0
100042066,15928,0.0244348,76916.3,3147820.0
100042066,16288,0.0100294,146.841,14641.0
100042066,16510,0.0086675,35532.2,4099480.0
100042066,16209,0.0133091,1169.15,87846.0
100042066,15820,0.0137969,202.0,14641.0
100042066,17293,0.00574972,252.545,43923.0
100042066,17156,0.0105917,23881.2,2254710.0
100042066,16756,0.0162458,2140.69,131769.0
100042066,16828,0.00672758,984.985,146410.0
100042066,112892413,0.0223422,2289.79,102487.0
100042066,16164,0.00685066,2908.72,424589.0
100042066,15712,0.00740365,1517.56,204974.0
100042066,16814,0.0078117,5489.81,702768.0
100042066,16895,0.0146902,860.314,58564.0
100042066,15670,0.0312074,1370.72,43923.0
100042066,16915,0.0161088,164387.0,10204800.0
100042066,17188,0.0100895,2215.8,219615.0
100042066,17626,0.0487078,18541.4,380666.0
100042066,111220728,0.00358585,210.002,58564.0
100042066,16694,0.0336909,219011.0,6500600.0
100042066,112892339,0.00626814,550.631,87846.0
100042066,17289,0.0235139,5508.26,234256.0
100042066,15602,0.0175229,513.105,29282.0
100042066,17074,0.00802546,3407.52,424589.0
100042066,111220562,0.0152129,2895.53,190333.0
100042066,112892287,0.00368666,107.953,29282.0
100042066,16544,0.0148917,3488.46,234256.0
100042066,15744,0.792964,116098.0,146410.0
100042066,16512,0.00931602,1636.75,175692.0
100042066,16487,0.0192881,22026.9,1142000.0
100042066,17445,0.0545764,7990.52,146410.0
100042066,16661,0.0112009,491.979,43923.0
100042066,16119,0.00652514,1146.42,175692.0
100042066,111220926,0.100017,1464.35,14641.0
100042066,111220614,0.0143465,15123.4,1054150.0
100042066,16719,0.00935739,7261.08,775973.0
100042066,16393,0.00199367,788.111,395307.0
100042066,16672,0.0331908,5831.36,175692.0
100042066,15853,0.0118549,114901.0,9692340.0
100042066,17331,0.00441314,193.838,43923.0
100042066,16225,0.00558187,5393.8,966306.0
100042066,16961,0.00962913,12547.2,1303050.0
100042066,15588,0.303963,8900.63,29282.0
100042066,16732,0.0045651,3074.53,673486.0
100042066,16666,0.0112009,491.979,43923.0
100042066,16791,0.01024,2098.94,204974.0
100042066,17439,0.0203457,595.762,29282.0
100042066,17256,0.00988587,3184.26,322102.0
100042066,17381,0.0330721,20821.0,629563.0
100042066,16649,0.0234152,507720.0,21683300.0
100042066,17161,0.0130991,3260.34,248897.0
100042066,17485,0.027244,33904.8,1244480.0
100042066,111220696,0.00527398,231.649,43923.0
100042066,17096,0.00946446,4018.51,424589.0
100042066,17225,0.00548807,80.3508,14641.0
